id;bald;year;size;ontogeny;fec0;fec1;surv;sizeNext;ontogenyNext
1509;1;1997;7;1;0;NA;0;NA;NA
1545;1;1997;7;1;0;NA;0;NA;NA
1551;1;1997;7;1;0;NA;0;NA;NA
1506;1;1997;8;1;1;1;1;2;0
1534;1;1997;8;1;0;NA;0;NA;NA
1535;1;1997;8;1;0;NA;0;NA;NA
1504;1;1997;9;1;0;NA;1;6;0
49;1;1997;9;0;1;3;0;NA;NA
55;1;1997;9;0;1;12;0;NA;NA
1538;1;1997;9;1;0;NA;0;NA;NA
1542;1;1997;9;1;0;NA;0;NA;NA
1471;1;1997;10;1;0;NA;1;3;0
1463;1;1997;10;0;1;19;1;5;0
1512;1;1997;10;1;0;NA;1;7;0
1466;1;1997;10;1;1;2;1;23;0
1480;1;1997;10;1;0;NA;1;29;0
1485;1;1997;10;1;0;NA;1;29;0
1451;1;1997;10;1;1;3;1;31;0
30;1;1997;10;0;0;NA;1;32;0
1486;1;1997;10;1;0;NA;1;36;0
1562;1;1997;11;1;1;3;1;7;0
1495;1;1997;11;1;0;NA;1;11;0
1490;1;1997;11;1;0;NA;1;14;0
41;1;1997;11;0;0;NA;1;15;0
1513;1;1997;11;1;0;NA;1;24;0
43;1;1997;11;0;1;6;1;34;0
1507;1;1997;11;0;1;14;0;NA;NA
1530;1;1997;11;1;1;88;0;NA;NA
1556;1;1997;12;1;1;1;1;30;0
1062;1;1997;12;0;1;105;1;35;0
1442;1;1997;12;1;1;9;1;37;0
1060;1;1997;13;0;1;29;1;16;0
1458;1;1997;13;0;1;10;1;42;0
1457;1;1997;13;0;1;18;0;NA;NA
1503;1;1997;14;1;1;16;1;16;0
1505;1;1997;15;0;1;21;1;3;0
1077;1;1997;15;0;1;64;1;26;0
1069;1;1997;16;0;1;51;1;11;0
1450;1;1997;16;0;1;22;1;24;0
1071;1;1997;16;0;1;11;1;54;0
1528;1;1997;16;0;1;80;0;NA;NA
1445;1;1997;17;0;1;12;1;30;0
1525;1;1997;17;0;1;14;0;NA;NA
1499;1;1997;18;0;1;5;1;12;0
1515;1;1997;18;0;1;22;0;NA;NA
1459;1;1997;19;0;1;6;1;29;0
1547;1;1997;19;0;0;NA;0;NA;NA
1454;1;1997;20;0;1;13;1;27;0
1443;1;1997;20;0;1;27;1;39;0
1500;1;1997;20;0;0;NA;0;NA;NA
1531;1;1997;20;0;1;31;0;NA;NA
32;1;1997;21;0;1;32;1;32;0
36;1;1997;21;0;1;17;0;NA;NA
1518;1;1997;21;0;1;32;0;NA;NA
1533;1;1997;21;0;1;150;0;NA;NA
1549;1;1997;21;0;1;2;0;NA;NA
1447;1;1997;22;0;1;36;1;40;0
1440;1;1997;22;0;1;56;1;45;0
1516;1;1997;23;0;1;139;1;29;0
1453;1;1997;24;0;1;18;1;27;0
10;1;1997;24;0;1;17;1;38;0
1075;1;1997;25;0;1;29;1;28;0
1467;1;1997;25;0;1;50;1;33;0
21;1;1997;25;0;1;241;1;47;0
1448;1;1997;25;0;1;202;1;50;0
1496;1;1997;25;0;1;15;0;NA;NA
1488;1;1997;26;0;1;38;1;18;0
1074;1;1997;26;0;1;92;1;40;0
1493;1;1997;27;0;1;39;1;28;0
1483;1;1997;28;0;1;50;1;27;0
1444;1;1997;28;0;1;136;1;37;0
37;1;1997;28;0;1;20;0;NA;NA
1065;1;1997;29;0;1;63;1;43;0
1468;1;1997;29;0;1;53;1;48;0
1489;1;1997;29;0;0;NA;0;NA;NA
1532;1;1997;29;0;1;128;0;NA;NA
1508;1;1997;30;0;1;51;1;25;0
8;1;1997;30;0;1;405;1;36;0
1081;1;1997;31;0;1;61;1;28;0
1514;1;1997;31;0;1;184;1;29;0
1517;1;1997;31;0;1;141;0;NA;NA
1520;1;1997;31;0;1;132;0;NA;NA
1494;1;1997;32;0;1;15;1;32;0
17;1;1997;32;0;1;66;1;39;0
1452;1;1997;32;0;1;114;1;40;0
1455;1;1997;32;0;1;72;0;NA;NA
1449;1;1997;34;0;1;152;1;35;0
1439;1;1997;35;0;1;532;1;32;0
20;1;1997;35;0;1;80;1;39;0
27;1;1997;36;0;1;219;1;41;0
42;1;1997;36;0;1;140;1;44;0
1511;1;1997;36;0;1;162;1;44;0
1557;1;1997;36;0;1;100;1;44;0
18;1;1997;36;0;1;112;1;55;0
40;1;1997;38;0;1;53;1;41;0
1491;1;1997;39;0;0;NA;1;11;0
1487;1;1997;40;0;1;107;1;46;0
1484;1;1997;41;0;1;51;1;28;0
1083;1;1997;42;0;1;19;1;34;0
1456;1;1997;42;0;1;269;1;44;0
1565;1;1997;42;0;1;221;0;NA;NA
1510;1;1997;43;0;1;147;1;50;0
13;1;1997;44;0;1;335;1;56;0
1497;1;1997;45;0;1;180;1;35;0
1559;1;1997;45;0;1;304;0;NA;NA
1492;1;1997;46;0;1;123;0;NA;NA
1082;1;1997;47;0;1;140;1;55;0
59;1;1997;49;0;1;168;1;38;0
58;1;1997;56;0;1;244;0;NA;NA
60;1;1997;66;0;1;644;0;NA;NA
2214;1;1997;NA;NA;NA;NA;NA;1;1
2215;1;1997;NA;NA;NA;NA;NA;1;1
2216;1;1997;NA;NA;NA;NA;NA;1;1
2218;1;1997;NA;NA;NA;NA;NA;1;1
2219;1;1997;NA;NA;NA;NA;NA;1;1
2221;1;1997;NA;NA;NA;NA;NA;1;1
2222;1;1997;NA;NA;NA;NA;NA;1;1
2223;1;1997;NA;NA;NA;NA;NA;1;1
2225;1;1997;NA;NA;NA;NA;NA;1;1
2229;1;1997;NA;NA;NA;NA;NA;1;1
2230;1;1997;NA;NA;NA;NA;NA;1;1
2231;1;1997;NA;NA;NA;NA;NA;1;1
2232;1;1997;NA;NA;NA;NA;NA;1;1
2209;1;1997;NA;NA;NA;NA;NA;2;1
2224;1;1997;NA;NA;NA;NA;NA;2;1
2227;1;1997;NA;NA;NA;NA;NA;4;1
2228;1;1997;NA;NA;NA;NA;NA;4;1
2212;1;1997;NA;NA;NA;NA;NA;5;1
2217;1;1997;NA;NA;NA;NA;NA;6;1
2220;1;1997;NA;NA;NA;NA;NA;6;1
2213;1;1997;NA;NA;NA;NA;NA;9;1
2226;1;1997;NA;NA;NA;NA;NA;17;0
2208;1;1997;NA;NA;NA;NA;NA;22;0
2210;1;1997;NA;NA;NA;NA;NA;22;0
2211;1;1997;NA;NA;NA;NA;NA;29;0
2233;1;1997;NA;NA;NA;NA;NA;33;0
2204;1;1997;NA;NA;NA;NA;NA;37;0
2207;1;1997;NA;NA;NA;NA;NA;38;0
2205;1;1997;NA;NA;NA;NA;NA;39;0
2206;1;1997;NA;NA;NA;NA;NA;43;0
2234;1;1997;NA;NA;NA;NA;NA;65;0
