size;sizeNext;stage;stageNext;surv;offspringNext;fec1Bolt;fec2Stem;fec3Head;fec1BoltNext;fec2StemNext;fec3HeadNext;cloning;clonesNext
6.347865874;6.215854322;continuous;continuous;1;NA;1;1;2;1;1;3;0;NA
5.868979123;6.750749916;continuous;continuous;1;NA;1;1;3;1;1;3;0;NA
5.921846427;5.376433296;continuous;continuous;1;NA;1;1;3;1;2;1;0;NA
4.496425841;NA;continuous;dead;0;NA;0;NA;NA;NA;NA;NA;0;NA
3.496286855;3.686203878;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
6.291260499;NA;continuous;dead;0;NA;0;NA;NA;NA;NA;NA;0;NA
3.686203878;4.857952692;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
5.801871245;NA;continuous;dead;0;NA;0;NA;NA;NA;NA;NA;0;NA
6.213058619;6.703945618;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
6.802150734;6.438774614;continuous;continuous;1;NA;1;1;4;1;1;2;0;NA
6.824144513;6.215854322;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
6.991659659;6.508528422;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
NA;2.626464081;NA;continuous;NA;sexual;NA;NA;NA;0;NA;NA;NA;NA
6.347865874;6.764967671;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
5.552283698;5.661988133;continuous;continuous;1;NA;0;NA;NA;1;2;2.5;0;NA
NA;4.902599202;NA;continuous;NA;sexual;NA;NA;NA;0;NA;NA;NA;NA
6.750749916;6.193343118;continuous;continuous;1;NA;1;1;2;1;1;1;0;NA
5.575728397;5.376433296;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
4.801938879;5.255196899;continuous;continuous;1;NA;0;NA;NA;1;1;1;0;NA
4.857952692;6.074348016;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
6.937394233;5.732415671;continuous;continuous;1;NA;1;2;2;1;3;2;0;NA
NA;4.902599202;NA;continuous;NA;sexual;NA;NA;NA;0;NA;NA;NA;NA
5.732415671;5.268503698;continuous;continuous;1;NA;1;1;1;1;2;1;0;NA
4.359333073;6.074348016;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
6.131549915;6.703945618;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
7.146011701;6.802150734;continuous;continuous;1;NA;0;NA;NA;1;2;3;0;NA
5.478644248;5.575728397;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
6.703945618;6.71693516;continuous;continuous;1;NA;1;1;1;0;NA;NA;0;NA
6.438774614;6.347865874;continuous;continuous;1;NA;1;1;2;1;2;4;0;NA
NA;5.255196899;NA;continuous;NA;sexual;NA;NA;NA;0;NA;NA;NA;NA
6.410698355;6.282965484;continuous;continuous;1;NA;1;1;3;1;3;1.333333333;0;NA
6.471592224;6.901119048;continuous;continuous;1;NA;0;NA;NA;1;1;3;0;NA
5.76564542;5.552283698;continuous;continuous;1;NA;1;2;0.5;0;NA;NA;0;NA
3.231931034;3.472842156;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
4.965025537;6.824144513;continuous;continuous;1;NA;1;1;1;0;NA;NA;0;NA
5.163136901;5.154151225;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
6.471592224;6.627784677;continuous;continuous;1;NA;0;NA;NA;1;1;3;0;NA
NA;3.472842156;NA;continuous;NA;sexual;NA;NA;NA;0;NA;NA;NA;NA
6.291260499;6.508528422;continuous;continuous;1;NA;0;NA;NA;1;1;1;0;NA
4.359333073;6.347865874;continuous;continuous;1;NA;1;1;1;0;NA;NA;0;NA
6.901119048;6.802150734;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
6.802150734;6.703945618;continuous;continuous;1;NA;0;NA;NA;1;1;3;0;NA
6.703945618;7.095893967;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
5.435736131;5.921846427;continuous;continuous;1;NA;0;NA;NA;0;NA;NA;0;NA
7.334638441;6.215854322;continuous;continuous;1;NA;0;NA;NA;1;2;2;0;NA
6.471592224;5.921846427;continuous;continuous;1;NA;0;NA;NA;1;1;1;0;NA
NA;3.686203878;NA;continuous;NA;sexual;NA;NA;NA;0;NA;NA;NA;NA
6.703945618;6.937394233;continuous;continuous;1;NA;0;NA;NA;1;1;1;0;NA
